Date_Reported,Cumulative_Cases
05/01/2020,0
12/01/2020,0
19/01/2020,0
26/01/2020,0
02/02/2020,0
09/02/2020,0
16/02/2020,0
23/02/2020,0
01/03/2020,1
08/03/2020,1
15/03/2020,7
22/03/2020,24
29/03/2020,91
05/04/2020,274
12/04/2020,521
19/04/2020,908
26/04/2020,1330
03/05/2020,2171
10/05/2020,3563
17/05/2020,6053
24/05/2020,9866
31/05/2020,14443
07/06/2020,19551
14/06/2020,24102
21/06/2020,28297
28/06/2020,30616
05/07/2020,32672
12/07/2020,34351
19/07/2020,35289
26/07/2020,36036
02/08/2020,36710
09/08/2020,37015
16/08/2020,37551
23/08/2020,37894
30/08/2020,38143
06/09/2020,38304
13/09/2020,38641
20/09/2020,38919
27/09/2020,39192
04/10/2020,39297
11/10/2020,39703
18/10/2020,40141
25/10/2020,40768
01/11/2020,41425
08/11/2020,42033
15/11/2020,43035
22/11/2020,44503
29/11/2020,45966
06/12/2020,47641
13/12/2020,48952
20/12/2020,50536
27/12/2020,51848
03/01/2021,52709
10/01/2021,53489
17/01/2021,53984
24/01/2021,54595
31/01/2021,55023
07/02/2021,55335
14/02/2021,55492
21/02/2021,55604
28/02/2021,55714
07/03/2021,55847
14/03/2021,55985
21/03/2021,56103
28/03/2021,56294
04/04/2021,56676
11/04/2021,57160
18/04/2021,57793
25/04/2021,58843
02/05/2021,60122
09/05/2021,61842
16/05/2021,63484
23/05/2021,65728
30/05/2021,70761
06/06/2021,79224
13/06/2021,89861
20/06/2021,101906
27/06/2021,114220
04/07/2021,124748
11/07/2021,133578
18/07/2021,140602
25/07/2021,143871
01/08/2021,147501
08/08/2021,150458
15/08/2021,152033
22/08/2021,152511
29/08/2021,153033
05/09/2021,153423
12/09/2021,153990
19/09/2021,154539
26/09/2021,154899
03/10/2021,155141
10/10/2021,155344
17/10/2021,155617
24/10/2021,155818
31/10/2021,156088
07/11/2021,156275
14/11/2021,156512
21/11/2021,156864
28/11/2021,157190
05/12/2021,157431
12/12/2021,157611
19/12/2021,157745
26/12/2021,157902
02/01/2022,158112
09/01/2022,158345
16/01/2022,158678
23/01/2022,159548
30/01/2022,161666
06/02/2022,165712
13/02/2022,170152
20/02/2022,171930
27/02/2022,173180
06/03/2022,174347
13/03/2022,176062
20/03/2022,177039
27/03/2022,177474
03/04/2022,177805
10/04/2022,178090
17/04/2022,178387
24/04/2022,178648
01/05/2022,178879
08/05/2022,178923
15/05/2022,179243
22/05/2022,179674
29/05/2022,180123
05/06/2022,180618
12/06/2022,181033
19/06/2022,181574
26/06/2022,182072
03/07/2022,182643
10/07/2022,183219
17/07/2022,183450
24/07/2022,184474
31/07/2022,185580
07/08/2022,187046
14/08/2022,188831
21/08/2022,190435
28/08/2022,192208
04/09/2022,193887
11/09/2022,195647
18/09/2022,197082
25/09/2022,198283
02/10/2022,199272
09/10/2022,200199
16/10/2022,201096
23/10/2022,202029
30/10/2022,202834
06/11/2022,203618
13/11/2022,204431
20/11/2022,205012
27/11/2022,205596
04/12/2022,206164
11/12/2022,206545
18/12/2022,206986
25/12/2022,207322
01/01/2023,207579
08/01/2023,207780
15/01/2023,207953
22/01/2023,208097
29/01/2023,208420
05/02/2023,208692
12/02/2023,208856
19/02/2023,209086
26/02/2023,209251
05/03/2023,209369
12/03/2023,209510
19/03/2023,209749
26/03/2023,210080
02/04/2023,210628
09/04/2023,211512
16/04/2023,212612
23/04/2023,214070
30/04/2023,214880
07/05/2023,216756
14/05/2023,218739
21/05/2023,220167
28/05/2023,221217
04/06/2023,221995
11/06/2023,222526
18/06/2023,222959
25/06/2023,223156
02/07/2023,223280
09/07/2023,223606
16/07/2023,223785
23/07/2023,224030
30/07/2023,224224
06/08/2023,224419
13/08/2023,224661
20/08/2023,224870
27/08/2023,225099
03/09/2023,225376
10/09/2023,225592
17/09/2023,225792
24/09/2023,225999
01/10/2023,226247
08/10/2023,226556
15/10/2023,226863
22/10/2023,227156
29/10/2023,227539
05/11/2023,227892
12/11/2023,228263
19/11/2023,228695
26/11/2023,228975
03/12/2023,229263
10/12/2023,229367
17/12/2023,229703
24/12/2023,230075
31/12/2023,230375
07/01/2024,230642
14/01/2024,230855
21/01/2024,231052
28/01/2024,231310
04/02/2024,231521
11/02/2024,231756
18/02/2024,231996
25/02/2024,232221
03/03/2024,232499
10/03/2024,232662
17/03/2024,232921
24/03/2024,233118
31/03/2024,233340
07/04/2024,233682
14/04/2024,234078
21/04/2024,234224
28/04/2024,234576
05/05/2024,235214
12/05/2024,235214
19/05/2024,235214
26/05/2024,235214
02/06/2024,235214
09/06/2024,235214
16/06/2024,235214
23/06/2024,235214
30/06/2024,235214
07/07/2024,235214
14/07/2024,235214
21/07/2024,235214
28/07/2024,235214
04/08/2024,235214
11/08/2024,235214
05/01/2020,0
12/01/2020,0
19/01/2020,0
26/01/2020,0
02/02/2020,0
09/02/2020,0
16/02/2020,0
23/02/2020,0
01/03/2020,0
08/03/2020,0
15/03/2020,33
22/03/2020,70
29/03/2020,186
05/04/2020,304
12/04/2020,416
19/04/2020,539
26/04/2020,678
03/05/2020,782
10/05/2020,850
17/05/2020,916
24/05/2020,981
31/05/2020,1099
07/06/2020,1212
14/06/2020,1416
21/06/2020,1838
28/06/2020,2269
05/07/2020,2752
12/07/2020,3278
19/07/2020,3906
26/07/2020,4570
02/08/2020,5276
09/08/2020,6151
16/08/2020,7117
23/08/2020,8119
30/08/2020,9195
06/09/2020,9967
13/09/2020,11021
20/09/2020,12073
27/09/2020,13045
04/10/2020,13965
11/10/2020,15066
18/10/2020,16501
25/10/2020,18556
01/11/2020,20634
08/11/2020,23210
15/11/2020,26701
22/11/2020,31459
29/11/2020,36245
06/12/2020,41302
13/12/2020,46863
20/12/2020,52004
27/12/2020,55380
03/01/2021,58723
10/01/2021,62378
17/01/2021,66635
24/01/2021,70655
31/01/2021,76350
07/02/2021,83082
14/02/2021,90835
21/02/2021,97909
28/02/2021,105229
07/03/2021,111301
14/03/2021,116123
21/03/2021,120022
28/03/2021,123216
04/04/2021,125842
11/04/2021,127795
18/04/2021,129307
25/04/2021,130270
02/05/2021,131085
09/05/2021,131577
16/05/2021,131939
23/05/2021,132153
30/05/2021,132285
06/06/2021,132372
13/06/2021,132437
20/06/2021,132484
27/06/2021,132506
04/07/2021,132526
11/07/2021,132580
18/07/2021,132647
25/07/2021,132828
01/08/2021,133036
08/08/2021,133591
15/08/2021,135140
22/08/2021,138132
29/08/2021,143174
05/09/2021,149117
12/09/2021,155293
19/09/2021,161324
26/09/2021,166690
03/10/2021,170778
10/10/2021,174168
17/10/2021,177108
24/10/2021,180623
31/10/2021,184340
07/11/2021,187994
14/11/2021,192013
21/11/2021,195523
28/11/2021,198732
05/12/2021,201045
12/12/2021,203215
19/12/2021,205224
26/12/2021,207221
02/01/2022,210224
09/01/2022,216686
16/01/2022,228777
23/01/2022,244182
30/01/2022,255741
06/02/2022,263172
13/02/2022,267551
20/02/2022,269904
27/02/2022,271314
06/03/2022,272030
13/03/2022,272552
20/03/2022,272961
27/03/2022,273318
03/04/2022,273759
10/04/2022,274108
17/04/2022,274376
24/04/2022,274685
01/05/2022,275002
08/05/2022,275266
15/05/2022,275485
22/05/2022,275774
29/05/2022,276012
05/06/2022,276274
12/06/2022,276583
19/06/2022,277026
26/06/2022,278211
03/07/2022,280851
10/07/2022,285731
17/07/2022,292456
24/07/2022,301394
31/07/2022,309278
07/08/2022,315337
14/08/2022,320086
21/08/2022,323597
28/08/2022,326815
04/09/2022,328716
11/09/2022,329696
18/09/2022,330313
25/09/2022,330762
02/10/2022,331075
09/10/2022,331297
16/10/2022,331452
23/10/2022,331593
30/10/2022,331745
06/11/2022,331900
13/11/2022,331998
20/11/2022,332119
27/11/2022,332202
04/12/2022,332277
11/12/2022,332407
18/12/2022,332538
25/12/2022,332670
01/01/2023,332794
08/01/2023,332907
15/01/2023,333064
22/01/2023,333169
29/01/2023,333219
05/02/2023,333270
12/02/2023,333321
19/02/2023,333390
26/02/2023,333483
05/03/2023,333571
12/03/2023,333651
19/03/2023,333716
26/03/2023,333799
02/04/2023,333883
09/04/2023,333992
16/04/2023,334070
23/04/2023,334090
30/04/2023,334090
07/05/2023,334090
14/05/2023,334090
21/05/2023,334090
28/05/2023,334090
04/06/2023,334090
11/06/2023,334090
18/06/2023,334090
25/06/2023,334090
02/07/2023,334090
09/07/2023,334090
16/07/2023,334090
23/07/2023,334090
30/07/2023,334090
06/08/2023,334090
13/08/2023,334090
20/08/2023,334090
27/08/2023,334090
03/09/2023,334090
10/09/2023,334090
17/09/2023,334090
24/09/2023,334090
01/10/2023,334090
08/10/2023,334090
15/10/2023,334090
22/10/2023,334090
29/10/2023,334090
05/11/2023,334196
12/11/2023,334270
19/11/2023,334331
26/11/2023,334408
03/12/2023,334450
10/12/2023,334506
17/12/2023,334555
24/12/2023,334596
31/12/2023,334596
07/01/2024,334653
14/01/2024,334752
21/01/2024,334818
28/01/2024,334863
04/02/2024,334896
11/02/2024,334923
18/02/2024,334944
25/02/2024,334959
03/03/2024,334977
10/03/2024,335006
17/03/2024,335023
24/03/2024,335025
31/03/2024,335028
07/04/2024,335031
14/04/2024,335033
21/04/2024,335038
28/04/2024,335043
05/05/2024,335047
12/05/2024,335047
19/05/2024,335047
26/05/2024,335047
02/06/2024,335047
09/06/2024,335047
16/06/2024,335047
23/06/2024,335047
30/06/2024,335047
07/07/2024,335047
14/07/2024,335047
21/07/2024,335047
28/07/2024,335047
04/08/2024,335047
11/08/2024,335047
05/01/2020,0
12/01/2020,0
19/01/2020,0
26/01/2020,0
02/02/2020,0
09/02/2020,0
16/02/2020,0
23/02/2020,0
01/03/2020,1
08/03/2020,19
15/03/2020,37
22/03/2020,139
29/03/2020,454
05/04/2020,1251
12/04/2020,1825
19/04/2020,2534
26/04/2020,3256
03/05/2020,4295
