User ID,Join Date,Last Payment Date
1,2023-03-14,2024-03-08
2,2021-12-17,2023-01-18
3,2024-04-04,2024-05-28
4,2022-12-05,2023-11-06
5,2022-11-24,2023-09-17
6,2021-09-04,2023-02-14
7,2022-06-23,2023-02-02
8,2023-04-07,2023-07-20
9,2021-07-28,2023-12-23
10,2024-03-04,2024-06-09
11,2021-10-12,2023-02-19
12,2023-04-03,2023-09-05
13,2023-09-04,2024-01-07
14,2022-01-21,2024-01-08
15,2022-06-27,2023-06-27
16,2023-10-28,2023-12-16
17,2021-12-04,2022-04-19
18,2021-10-07,2022-08-20
19,2023-12-31,2024-03-12
20,2022-03-25,2023-06-22
21,2021-11-19,2023-09-06
22,2022-09-05,2022-09-30
23,2022-12-31,2023-09-15
24,2022-01-13,2024-01-08
25,2023-01-27,2023-05-26
26,2022-08-27,2023-12-06
27,2021-08-14,2021-11-22
28,2022-01-15,2023-01-19
29,2023-04-07,2024-01-12
30,2021-09-17,2021-11-24
31,2022-01-22,2023-08-01
32,2021-10-23,2023-02-19
33,2021-09-02,2023-12-22
34,2022-11-23,2022-12-09
35,2022-03-18,2023-02-24
36,2022-01-28,2024-03-27
37,2023-03-30,2023-07-01
38,2023-02-13,2023-03-20
39,2022-02-01,2023-03-09
40,2023-08-15,2023-11-10
41,2022-09-22,2024-01-24
42,2023-08-17,2024-06-01
43,2022-09-11,2023-12-01
44,2023-05-04,2023-12-26
45,2022-03-15,2024-05-22
46,2021-10-21,2024-01-09
47,2023-05-30,2024-05-27
48,2022-09-13,2022-12-04
49,2021-08-23,2023-07-13
50,2022-10-25,2023-03-09
51,2021-10-09,2023-10-11
52,2021-09-18,2022-05-11
53,2023-10-06,2023-12-20
54,2021-12-21,2022-10-11
55,2024-01-13,2024-04-03
56,2024-01-16,2024-06-12
57,2023-06-26,2023-10-13
58,2023-04-23,2023-06-26
59,2024-04-29,2024-05-22
60,2023-08-31,2023-12-22
61,2024-04-09,2024-04-26
62,2023-03-23,2024-03-28
63,2021-10-13,2022-07-21
64,2021-06-26,2023-09-22
65,2024-05-11,2024-05-23
66,2024-03-25,2024-05-25
67,2023-02-03,2024-03-31
68,2024-02-11,2024-06-04
69,2022-06-09,2023-04-23
70,2021-10-03,2022-03-23
71,2024-06-12,2024-06-17
72,2022-04-17,2023-08-27
73,2023-12-06,2024-01-11
74,2024-01-19,2024-03-24
75,2022-01-19,2024-05-07
76,2023-03-11,2023-04-27
77,2021-10-28,2022-04-08
78,2022-04-26,2024-01-04
79,2022-12-27,2024-01-22
80,2023-04-26,2024-01-19
81,2023-10-31,2024-01-29
82,2021-08-04,2024-01-25
83,2022-10-13,2022-12-20
84,2023-06-28,2024-05-22
85,2024-04-25,2024-05-28
86,2023-05-28,2024-05-27
87,2022-06-18,2024-04-28
88,2023-06-27,2024-04-23
89,2023-02-06,2024-02-21
90,2022-06-20,2023-09-02
91,2022-02-03,2023-06-20
92,2023-06-11,2024-02-29
93,2023-08-25,2023-11-17
94,2023-02-24,2023-11-14
95,2022-10-07,2022-11-24
96,2023-03-31,2023-07-27
97,2022-05-02,2022-12-22
98,2023-03-29,2023-05-01
99,2022-05-22,2023-04-30
100,2023-07-22,2023-11-05
101,2023-01-14,2023-08-03
102,2022-09-23,2022-10-13
103,2022-06-17,2023-03-06
104,2023-04-18,2024-01-04
105,2021-07-07,2022-11-22
106,2022-08-24,2023-06-16
107,2023-02-10,2023-10-09
108,2022-03-18,2023-07-12
109,2022-01-03,2022-09-12
110,2023-06-17,2023-12-10
111,2022-12-29,2023-06-26
112,2022-05-15,2022-09-25
113,2023-04-19,2023-08-04
114,2022-01-17,2023-06-11
115,2023-11-01,2023-11-10
116,2022-04-02,2023-01-09
117,2023-02-14,2023-05-21
118,2021-12-23,2024-03-20
119,2024-03-16,2024-06-13
120,2023-11-05,2024-05-23
121,2021-07-21,2021-08-08
122,2024-02-10,2024-05-30
123,2023-05-06,2023-11-05
124,2022-03-01,2024-02-21
125,2023-03-03,2024-03-30
126,2024-04-25,2024-06-05
127,2022-08-03,2024-04-10
128,2021-09-15,2022-07-28
129,2021-11-08,2023-06-10
130,2021-09-27,2023-07-26
